Gmt time,Open,High,Low,Close,Volume
2021-04-28 12:30:00+05:30,999.28,1000.5,999.05,1000.03,224264
2021-04-28 12:45:00+05:30,999.88,1000.48,999.5,999.93,219666
2021-04-28 13:00:00+05:30,999.93,1001.28,999.58,1000.68,323526
2021-04-28 13:15:00+05:30,1000.68,1003.0,999.55,1000.58,767670
2021-04-28 13:30:00+05:30,1000.58,1001.2,999.88,999.98,334314
2021-04-28 13:45:00+05:30,1000.03,1000.9,997.6,1000.58,470586
2021-04-28 14:00:00+05:30,1000.58,1000.63,998.6,998.6,404244
2021-04-28 14:15:00+05:30,998.6,1000.5,998.35,999.8,396274
2021-04-28 14:30:00+05:30,999.8,999.98,998.0,998.25,379714
2021-04-28 14:45:00+05:30,998.25,1000.4,997.18,1000.03,644004
2021-04-28 15:00:00+05:30,1000.0,1000.85,995.25,997.5,1373410
2021-04-28 15:15:00+05:30,997.5,998.73,995.9,998.65,909704
2021-04-29 09:15:00+05:30,996.58,1022.25,996.58,1012.3,3812972
2021-04-29 09:30:00+05:30,1012.1,1015.93,1011.9,1013.1,836892
2021-04-29 09:45:00+05:30,1013.33,1013.4,1006.8,1008.23,1179110
2021-04-29 10:00:00+05:30,1008.45,1011.0,1004.55,1010.63,887386
2021-04-29 10:15:00+05:30,1010.63,1012.5,1009.45,1011.5,500200
2021-04-29 10:30:00+05:30,1011.55,1011.95,1007.05,1008.0,453126
2021-04-29 10:45:00+05:30,1007.83,1008.5,1003.65,1007.5,580652
2021-04-29 11:00:00+05:30,1008.0,1008.8,1005.83,1008.5,285820
2021-04-29 11:15:00+05:30,1008.43,1010.38,1007.13,1008.75,358534
2021-04-29 11:30:00+05:30,1008.5,1008.85,1006.5,1006.95,200832
2021-04-29 11:45:00+05:30,1007.2,1008.05,1005.05,1005.65,201890
2021-04-29 12:00:00+05:30,1005.98,1009.05,1005.45,1009.0,265032
2021-04-29 12:15:00+05:30,1009.0,1013.73,1008.53,1013.5,689414
2021-04-29 12:30:00+05:30,1013.43,1015.0,1012.0,1013.55,514662
2021-04-29 12:45:00+05:30,1013.95,1014.75,1012.23,1014.15,285284
2021-04-29 13:00:00+05:30,1014.13,1015.0,1011.4,1012.6,299706
2021-04-29 13:15:00+05:30,1012.58,1013.4,1011.0,1012.1,209994
2021-04-29 13:30:00+05:30,1012.25,1013.0,1011.63,1011.78,175874
2021-04-29 13:45:00+05:30,1011.35,1011.55,1008.63,1009.8,384416
2021-04-29 14:00:00+05:30,1010.13,1010.5,1009.1,1010.05,257016
2021-04-29 14:15:00+05:30,1010.23,1010.25,1008.25,1009.0,268422
2021-04-29 14:30:00+05:30,1009.35,1013.4,1008.0,1011.45,751924
2021-04-29 14:45:00+05:30,1011.25,1014.2,1010.73,1014.2,449038
2021-04-29 15:00:00+05:30,1014.15,1015.0,1011.53,1011.63,1210532
2021-04-29 15:15:00+05:30,1011.83,1011.83,1008.73,1010.0,1005252
2021-04-30 09:15:00+05:30,1004.25,1013.5,1001.13,1012.15,1873030
2021-04-30 09:30:00+05:30,1012.43,1018.0,1011.63,1012.33,1055154
